                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43805,                 2.4548,                 2.9271,                0.27524,                0.97119,                0.99878,                0.99921,                  0.995,                0.95296,                0.71278,                0.71293,                  0.617,                0.50985,                 0.3392,                 2.9376,                0.17513,                0.17602,                0.72531,              0.0033174,              0.0033174,              0.0033174
                      2,                0.42061,                 1.4457,                 1.7185,                0.26539,                0.95804,                0.99605,                0.99911,                  0.995,                0.94253,                0.77877,                0.76844,                0.69733,                0.55767,                0.35325,                 2.6479,                0.33135,                0.18938,                 0.7287,              0.0066178,              0.0066178,              0.0066178
                      3,                0.45445,                 1.5004,                 1.7923,                0.28968,                0.97109,                 0.9976,                0.99038,                0.99497,                0.91525,                0.65212,                0.63477,                0.50007,                0.33743,                0.44356,                 3.9946,                0.75921,                0.25706,                0.78649,              0.0098852,              0.0098852,              0.0098852
                      4,                 0.5146,                 1.8051,                 2.0946,                0.33011,                  1.001,                0.98432,                0.99536,                0.99474,                0.91438,                0.83102,                0.81122,                0.76282,                0.52098,                0.46534,                 2.4596,                 1.1116,                0.26816,                0.80893,              0.0098515,              0.0098515,              0.0098515
                      5,                0.52151,                 1.7477,                 1.9969,                0.33691,                0.99448,                0.98756,                0.98652,                0.99467,                0.91485,                0.85036,                0.82923,                0.78266,                 0.5731,                0.44024,                 2.2278,                 0.3334,                0.25205,                0.78445,               0.009802,               0.009802,               0.009802
                      6,                0.52842,                 1.6686,                 1.9296,                0.34221,                0.99437,                0.99625,                0.99603,                0.99486,                0.93303,                0.88082,                0.87913,                0.83488,                0.59054,                0.40514,                 2.0081,                0.60403,                0.23104,                0.76676,              0.0097525,              0.0097525,              0.0097525
                      7,                0.51108,                 1.5319,                 1.8343,                0.33094,                 0.9911,                0.99719,                0.99286,                  0.995,                0.91263,                0.83398,                0.82633,                0.75775,                0.55033,                0.43892,                 2.3752,                0.24588,                0.24254,                0.78686,               0.009703,               0.009703,               0.009703
                      8,                0.51012,                 1.5149,                 1.7996,                0.33308,                 0.9927,                0.99978,                0.99762,                  0.995,                0.93598,                0.87226,                0.85805,                0.83226,                0.64622,                0.39064,                 2.0022,                0.42535,                0.21669,                0.75123,              0.0096535,              0.0096535,              0.0096535
                      9,                0.50911,                 1.4943,                 1.7602,                0.33202,                0.98481,                0.99904,                      1,                  0.995,                 0.9382,                0.90825,                0.90484,                 0.8854,                0.70393,                0.37607,                 1.5405,                0.17211,                0.22705,                0.75007,               0.009604,               0.009604,               0.009604
                     10,                0.50396,                 1.4517,                 1.7271,                0.33076,                0.98352,                0.99445,                0.99422,                0.99496,                0.90772,                0.82425,                0.71039,                0.72139,                0.51032,                0.46943,                 2.9977,                 1.0872,                0.28037,                0.82335,              0.0095545,              0.0095545,              0.0095545
                     11,                 0.4992,                 1.3591,                 1.6744,                0.32585,                0.98478,                0.99864,                0.99762,                  0.995,                0.93435,                0.92281,                0.90563,                0.91094,                0.72393,                0.40249,                 1.6459,                0.85946,                0.22448,                0.76282,               0.009505,               0.009505,               0.009505
                     12,                 0.4921,                 1.3425,                 1.6107,                0.32119,                0.97727,                0.99994,                      1,                  0.995,                0.93882,                0.90307,                0.89136,                0.86416,                0.69593,                0.37607,                 1.7322,                0.84532,                0.20623,                0.75456,              0.0094555,              0.0094555,              0.0094555
                     13,                0.49904,                 1.3567,                 1.6498,                0.32554,                0.98484,                0.99975,                      1,                  0.995,                0.93796,                0.90316,                0.89294,                0.87386,                0.72399,                0.38548,                 1.5728,                0.29304,                0.21227,                0.75894,               0.009406,               0.009406,               0.009406
                     14,                0.49479,                 1.3518,                  1.644,                0.32551,                0.97584,                0.99921,                0.99962,                  0.995,                0.95346,                0.88297,                0.87312,                0.84548,                0.68272,                0.35925,                  1.761,                0.39239,                0.20451,                0.73339,              0.0093565,              0.0093565,              0.0093565
                     15,                0.48668,                 1.2293,                 1.5366,                0.31934,                0.98111,                0.99675,                0.99921,                0.99499,                0.93864,                 0.9418,                0.92546,                0.93131,                0.75434,                0.39758,                 1.3904,                0.64328,                0.22563,                0.75669,               0.009307,               0.009307,               0.009307
                     16,                0.48275,                 1.2258,                 1.5481,                0.31835,                0.97681,                0.99525,                0.99745,                0.99499,                0.94469,                0.87138,                0.86201,                0.84807,                0.72906,                0.37258,                 1.7213,                0.52828,                0.21104,                0.74615,              0.0092575,              0.0092575,              0.0092575
                     17,                0.48452,                 1.2289,                 1.5213,                0.31857,                0.96975,                0.99903,                0.99921,                  0.995,                0.95225,                0.86834,                0.84298,                0.83718,                0.70507,                0.36093,                 1.7387,                0.69513,                0.21011,                0.73652,               0.009208,               0.009208,               0.009208
                     18,                0.47944,                 1.1842,                 1.5177,                0.31487,                0.97204,                      1,                0.99997,                  0.995,                0.95712,                0.88992,                0.88263,                0.86949,                0.77281,                0.34378,                 1.5251,                0.25488,                0.18577,                0.72573,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.4781,                 1.2301,                 1.5201,                0.31499,                0.96995,                      1,                0.99654,                  0.995,                0.95283,                0.87699,                0.86439,                0.85241,                0.72408,                0.36557,                 1.6856,                0.20804,                0.20094,                0.74161,               0.009109,               0.009109,               0.009109
                     20,                0.46809,                  1.119,                 1.4388,                0.30808,                0.96912,                      1,                 0.9997,                  0.995,                0.95011,                0.90617,                0.89929,                0.88353,                0.76489,                 0.3598,                 1.3956,                0.19838,                0.19869,                0.73715,              0.0090595,              0.0090595,              0.0090595
                     21,                0.47588,                 1.1758,                 1.4706,                0.31373,                0.97071,                0.99987,                      1,                  0.995,                0.95787,                0.90671,                 0.9018,                0.89682,                0.79074,                0.34478,                 1.2814,                0.32771,                0.19156,                 0.7303,                0.00901,                0.00901,                0.00901
                     22,                  0.471,                 1.1633,                 1.4416,                0.31023,                0.96992,                      1,                0.99904,                  0.995,                 0.9545,                0.90308,                0.90147,                0.88094,                0.79111,                0.33831,                 1.2952,                0.17169,                0.19022,                0.72121,              0.0089605,              0.0089605,              0.0089605
                     23,                0.46722,                 1.1291,                 1.4253,                0.30943,                0.96501,                0.99291,                0.99974,                0.99494,                0.95541,                0.88679,                0.86962,                0.85777,                0.75434,                0.34685,                 1.5232,                0.23954,                0.19676,                0.73037,               0.008911,               0.008911,               0.008911
                     24,                0.46617,                 1.0987,                 1.4169,                0.30759,                0.97287,                      1,                0.99914,                  0.995,                0.95332,                0.89993,                0.88434,                0.89497,                0.78238,                 0.3444,                 1.4894,                0.56647,                0.18948,                0.73632,              0.0088615,              0.0088615,              0.0088615
                     25,                0.46556,                 1.1052,                 1.4082,                0.30784,                0.96664,                0.99982,                0.99921,                  0.995,                0.96295,                0.88794,                0.88739,                 0.8759,                0.77571,                0.32969,                 1.4949,                 0.2387,                0.18522,                0.72471,               0.008812,               0.008812,               0.008812
                     26,                0.45833,                 1.0595,                 1.3735,                0.30287,                0.96253,                0.99994,                      1,                  0.995,                0.95814,                 0.8944,                0.89374,                0.89295,                0.80419,                0.33413,                 1.3688,                0.17272,                0.18513,                0.72447,              0.0087625,              0.0087625,              0.0087625
                     27,                 0.4546,                 1.0434,                 1.3594,                0.30078,                 0.9656,                0.99986,                      1,                  0.995,                0.96474,                0.91288,                0.90578,                0.90586,                0.82778,                0.32929,                 1.2286,                0.13315,                0.18312,                0.71786,               0.008713,               0.008713,               0.008713
                     28,                0.45862,                 1.0649,                 1.3684,                0.30311,                0.95659,                 0.9992,                      1,                  0.995,                   0.96,                0.92459,                0.91039,                0.90994,                 0.8186,                0.33916,                  1.245,                0.15742,                0.18629,                0.72853,              0.0086635,              0.0086635,              0.0086635
                     29,                0.45009,                 1.0322,                 1.3461,                0.29937,                0.96632,                0.99993,                      1,                  0.995,                0.95987,                0.90437,                0.89136,                0.90691,                0.81721,                0.33289,                 1.2788,                0.16397,                0.17664,                0.72351,               0.008614,               0.008614,               0.008614
                     30,                0.44812,                   1.03,                 1.3429,                0.29874,                0.95752,                      1,                0.99822,                  0.995,                0.96233,                0.94651,                0.92607,                0.93094,                0.85228,                0.33378,                 1.0164,                  0.234,                0.18498,                0.72407,              0.0085645,              0.0085645,              0.0085645
                     31,                0.44404,                 1.0038,                 1.3252,                0.29407,                0.95827,                      1,                0.99902,                  0.995,                0.96473,                0.92352,                 0.9207,                0.93296,                0.87069,                0.33015,                 1.0515,                0.19439,                0.17948,                0.72145,               0.008515,               0.008515,               0.008515
                     32,                0.44747,                 1.0045,                 1.3281,                0.29727,                0.96447,                  0.999,                      1,                  0.995,                0.96188,                0.89596,                0.88025,                0.87044,                0.80941,                0.33189,                 1.3047,                0.17137,                 0.1762,                0.73459,              0.0084655,              0.0084655,              0.0084655
                     33,                0.45092,                0.99253,                  1.325,                0.29931,                0.96519,                0.99833,                      1,                  0.995,                0.96511,                0.90313,                0.90325,                 0.9114,                0.84683,                0.32805,                 1.2215,                0.14917,                0.17744,                0.72651,               0.008416,               0.008416,               0.008416
                     34,                0.44926,                 1.0224,                  1.329,                0.29983,                0.95867,                0.99052,                      1,                0.99474,                0.96305,                0.88689,                 0.8705,                0.86911,                0.80116,                0.32319,                 1.3603,                0.13628,                0.18162,                0.72342,              0.0083665,              0.0083665,              0.0083665
                     35,                0.45065,                 1.0185,                 1.3137,                0.30015,                0.95966,                 0.9921,                      1,                0.99494,                0.96683,                0.91056,                0.90484,                 0.9058,                0.81882,                0.31335,                 1.1386,                0.14736,                0.17802,                0.71228,               0.008317,               0.008317,               0.008317
                     36,                0.44244,                0.98035,                 1.2877,                0.29327,                0.95562,                0.99994,                      1,                  0.995,                0.95921,                0.90464,                0.90276,                0.89383,                0.81431,                 0.3248,                 1.1569,                0.14648,                0.17403,                0.71493,              0.0082675,              0.0082675,              0.0082675
                     37,                0.43531,                0.94345,                 1.2683,                 0.2888,                0.95281,                0.99995,                      1,                  0.995,                0.96631,                0.91668,                0.91673,                 0.9217,                0.85782,                0.31047,                 1.1188,                0.12052,                0.16364,                0.71124,               0.008218,               0.008218,               0.008218
                     38,                 0.4407,                0.96476,                 1.2714,                0.29254,                0.95474,                      1,                0.99997,                  0.995,                 0.9645,                0.89532,                0.89531,                0.89535,                0.83388,                0.31851,                 1.2504,                0.11931,                0.16934,                0.71828,              0.0081685,              0.0081685,              0.0081685
                     39,                0.43704,                0.95651,                  1.247,                0.29036,                0.95045,                0.99996,                      1,                  0.995,                 0.9669,                0.91249,                0.89532,                0.90647,                0.85653,                0.31988,                  1.152,                0.10796,                0.16681,                0.71753,               0.008119,               0.008119,               0.008119
                     40,                0.43944,                0.95933,                 1.2684,                0.29326,                0.95353,                0.99986,                0.99921,                  0.995,                0.96741,                0.92439,                0.89136,                0.90422,                0.85389,                0.32394,                 1.1428,                0.11969,                0.17049,                0.72346,              0.0080695,              0.0080695,              0.0080695
                     41,                0.43333,                0.90165,                 1.2258,                0.28897,                0.95549,                0.99842,                0.99926,                  0.995,                0.97038,                0.91719,                0.91515,                0.91885,                0.86017,                0.31032,                 1.0685,                0.11394,                0.16217,                0.71403,                0.00802,                0.00802,                0.00802
                     42,                0.43249,                 0.9201,                 1.2344,                0.28767,                0.95487,                0.99988,                0.99921,                  0.995,                0.97173,                0.91544,                 0.9088,                0.91655,                0.87091,                0.31626,                 1.0899,                0.11474,                0.16534,                 0.7139,              0.0079705,              0.0079705,              0.0079705
                     43,                0.43015,                 0.9286,                 1.2488,                0.28707,                0.94949,                0.99921,                0.99992,                  0.995,                0.97098,                0.90531,                0.90325,                0.91179,                0.86346,                0.31454,                 1.1322,                0.12336,                0.16204,                0.71438,               0.007921,               0.007921,               0.007921
                     44,                0.42289,                0.88507,                 1.2029,                0.28148,                0.94645,                0.99979,                      1,                  0.995,                0.96245,                 0.9219,                 0.9199,                   0.92,                0.85654,                0.32163,                 1.0439,                0.15182,                0.16816,                0.72103,              0.0078715,              0.0078715,              0.0078715
                     45,                0.42709,                0.89497,                 1.2185,                0.28594,                0.94765,                      1,                0.99916,                  0.995,                 0.9678,                0.91556,                0.91435,                0.92341,                0.86137,                0.31513,                0.98682,                0.15882,                0.16252,                0.71425,               0.007822,               0.007822,               0.007822
                     46,                0.42662,                0.89486,                 1.2237,                0.28499,                0.95434,                0.99987,                0.99921,                  0.995,                0.97126,                0.91715,                0.91435,                0.91942,                0.87133,                0.30184,                 1.0065,                 0.1088,                0.15921,                0.70795,              0.0077725,              0.0077725,              0.0077725
                     47,                0.42459,                0.88448,                 1.2146,                0.28267,                0.95246,                 0.9998,                0.99921,                  0.995,                0.96996,                0.92127,                0.91866,                0.91397,                0.86665,                0.30632,                0.96441,                0.09811,                0.16197,                0.71279,               0.007723,               0.007723,               0.007723
                     48,                0.43089,                0.90197,                  1.198,                0.28936,                0.95134,                 0.9998,                0.99921,                  0.995,                0.97083,                0.94247,                0.93973,                0.93664,                0.87317,                0.30494,                0.88203,                0.09323,                0.16231,                0.71322,              0.0076735,              0.0076735,              0.0076735
                     49,                0.42576,                0.89279,                 1.2027,                0.28328,                0.94938,                0.99979,                      1,                  0.995,                0.97127,                0.93766,                0.93577,                 0.9458,                 0.8948,                0.30578,                0.85329,                0.09122,                0.15728,                0.71288,               0.007624,               0.007624,               0.007624
                     50,                0.42439,                0.89078,                 1.1923,                0.28347,                0.95198,                0.99994,                      1,                  0.995,                0.96903,                0.92374,                0.92308,                0.93218,                0.88159,                0.30211,                0.96866,                0.11665,                0.15895,                 0.7091,              0.0075745,              0.0075745,              0.0075745
                     51,                0.42236,                0.86039,                 1.1925,                0.28229,                0.95286,                0.99972,                      1,                  0.995,                0.96951,                0.93145,                0.92942,                0.93848,                0.89215,                0.30435,                0.86701,                0.10046,                0.15818,                0.70919,               0.007525,               0.007525,               0.007525
                     52,                0.42294,                0.87467,                 1.1778,                0.28287,                0.94381,                 0.9999,                      1,                  0.995,                0.96962,                 0.9279,                0.92625,                0.92189,                0.87724,                0.30464,                0.87248,                0.08964,                0.15566,                0.70946,              0.0074755,              0.0074755,              0.0074755
                     53,                0.41522,                0.79262,                 1.1187,                0.27536,                0.94955,                      1,                0.99965,                  0.995,                0.97137,                0.93549,                0.93339,                0.93249,                0.88878,                0.30529,                 0.8496,                0.07861,                0.15463,                0.71309,               0.007426,               0.007426,               0.007426
                     54,                0.40987,                0.80556,                 1.1292,                0.27597,                0.94317,                      1,                0.99995,                  0.995,                0.97051,                0.94564,                0.92308,                0.93522,                0.89117,                  0.308,                0.86884,                0.09177,                0.15716,                0.71442,              0.0073765,              0.0073765,              0.0073765
                     55,                0.40837,                0.82671,                 1.1354,                0.27423,                0.94162,                      1,                0.99992,                  0.995,                0.97121,                0.94095,                0.92784,                0.93951,                0.89405,                  0.311,                0.87489,                0.09893,                0.15725,                0.71207,               0.007327,               0.007327,               0.007327
                     56,                0.41673,                0.86206,                 1.1632,                0.27888,                0.94135,                 0.9999,                      1,                  0.995,                0.96989,                0.93268,                0.91832,                0.93348,                0.88675,                0.31014,                0.88022,                0.10489,                0.15485,                0.71294,              0.0072775,              0.0072775,              0.0072775
                     57,                0.41997,                0.85792,                 1.1462,                 0.2806,                0.94928,                0.99986,                      1,                  0.995,                0.96904,                0.93167,                 0.9318,                0.94082,                0.88962,                0.30736,                0.89824,                0.10076,                0.15296,                0.71066,               0.007228,               0.007228,               0.007228
                     58,                0.41566,                0.82081,                 1.1395,                0.27773,                0.94605,                0.99967,                      1,                  0.995,                0.96895,                0.92446,                0.92197,                0.93463,                0.88802,                0.30637,                0.92982,                0.10045,                0.15362,                0.70949,              0.0071785,              0.0071785,              0.0071785
                     59,                0.40928,                0.80632,                 1.1136,                0.27423,                0.94288,                0.99996,                      1,                  0.995,                 0.9686,                0.91826,                0.91832,                0.91871,                0.87501,                0.30563,                0.90024,                0.10037,                0.15292,                 0.7093,               0.007129,               0.007129,               0.007129
                     60,                0.40888,                0.79278,                 1.1039,                0.27404,                0.94305,                      1,                 0.9998,                  0.995,                0.97088,                 0.9332,                0.93062,                0.93728,                0.88233,                0.30346,                 0.8785,                0.10313,                0.15187,                0.70776,              0.0070795,              0.0070795,              0.0070795
