                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1434,                0.59161,                 1.0496,                0.97285,                0.93597,                0.97445,                0.80906,                0.90481,                0.50374,                0.90664,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.1488,                0.59026,                 1.0512,                0.97296,                0.93567,                0.97434,                0.80886,                0.90503,                0.50204,                0.90672,               0.009109,               0.009109,               0.009109
                     38,                 1.1472,                0.59157,                 1.0511,                0.97306,                0.93561,                 0.9743,                0.80894,                0.90525,                0.49949,                0.90675,              0.0090843,              0.0090843,              0.0090843
                     39,                  1.149,                0.59191,                 1.0498,                0.97313,                0.93566,                0.97421,                0.80896,                0.90523,                0.49768,                0.90661,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.1465,                0.59144,                 1.0494,                 0.9729,                0.93624,                0.97434,                0.80886,                0.90517,                0.49438,                 0.9066,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.1517,                0.59332,                  1.052,                0.97394,                0.93524,                0.97442,                0.80882,                0.90532,                0.49215,                 0.9067,                0.00901,                0.00901,                0.00901
                     42,                 1.1482,                0.58942,                 1.0495,                 0.9736,                0.93519,                0.97444,                0.80874,                0.90543,                0.49634,                0.90681,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.1469,                0.58995,                 1.0498,                0.97356,                0.93503,                0.97432,                0.80887,                0.90543,                0.49677,                 0.9068,              0.0089605,              0.0089605,              0.0089605
                     44,                 1.1518,                 0.5936,                 1.0547,                0.97361,                0.93499,                0.97429,                0.80885,                0.90502,                0.49579,                0.90664,              0.0089358,              0.0089358,              0.0089358
                     45,                  1.148,                0.58945,                 1.0517,                0.97361,                0.93513,                0.97414,                0.80899,                0.90477,                 0.4927,                0.90661,               0.008911,               0.008911,               0.008911
                     46,                 1.1466,                0.59094,                 1.0483,                0.97307,                0.93547,                0.97405,                0.80898,                0.90476,                0.49425,                0.90653,              0.0088863,              0.0088863,              0.0088863
                     47,                 1.1466,                0.59195,                 1.0511,                0.97388,                 0.9349,                 0.9741,                0.80901,                0.90473,                0.49479,                0.90632,              0.0088615,              0.0088615,              0.0088615
