                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.77342,                 4.5578,                      0,                  0.451,                 1.0813,                 0.9989,                0.99933,                0.99499,                0.94973,                0.93194,                0.92489,                0.94357,                0.74215,                0.36891,                 1.5382,                      0,                0.19976,                0.76772,               0.009637,               0.009637,               0.009637
                     24,                0.76816,                 4.5081,                      0,                0.44703,                 1.0853,                0.99914,                0.99921,                0.99499,                0.94991,                0.93328,                0.92566,                0.94414,                0.74419,                0.36716,                 1.5289,                      0,                0.19915,                 0.7671,              0.0096205,              0.0096205,              0.0096205
                     25,                0.76849,                 4.5102,                      0,                0.44871,                 1.0718,                0.99912,                0.99931,                0.99499,                0.95029,                0.93285,                0.92564,                0.94396,                0.74461,                0.36618,                 1.5258,                      0,                0.19845,                0.76655,               0.009604,               0.009604,               0.009604
                     26,                0.76603,                 4.5091,                      0,                0.44736,                 1.0803,                 0.9992,                0.99931,                0.99499,                0.95083,                0.93323,                0.92585,                0.94473,                0.74626,                0.36502,                   1.52,                      0,                0.19768,                0.76608,              0.0095875,              0.0095875,              0.0095875
                     27,                0.76821,                  4.496,                      0,                0.44782,                 1.0767,                0.99927,                0.99928,                  0.995,                0.95081,                0.93327,                0.92628,                0.94491,                0.74733,                0.36508,                  1.517,                      0,                0.19711,                0.76643,               0.009571,               0.009571,               0.009571
                     28,                0.76495,                 4.4779,                      0,                0.44609,                 1.0734,                0.99924,                0.99925,                0.99499,                0.95077,                 0.9334,                0.92642,                0.94507,                0.74757,                0.36516,                 1.5159,                      0,                0.19753,                0.76668,              0.0095545,              0.0095545,              0.0095545
                     29,                0.76859,                 4.4981,                      0,                0.44766,                  1.077,                0.99904,                0.99934,                  0.995,                0.95073,                0.93288,                0.92602,                0.94497,                0.74826,                0.36563,                 1.5172,                      0,                0.19751,                0.76714,               0.009538,               0.009538,               0.009538
                     30,                0.75994,                 4.4355,                      0,                0.44153,                  1.076,                  0.999,                 0.9994,                0.99499,                 0.9509,                0.93225,                0.92559,                0.94485,                0.74867,                0.36581,                 1.5183,                      0,                0.19725,                0.76743,              0.0095215,              0.0095215,              0.0095215
                     31,                0.76428,                 4.4638,                      0,                0.44478,                 1.0716,                0.99914,                0.99947,                0.99499,                0.95085,                0.93211,                0.92582,                0.94502,                0.74844,                0.36614,                 1.5223,                      0,                0.19753,                0.76797,               0.009505,               0.009505,               0.009505
                     32,                0.76518,                 4.4598,                      0,                 0.4455,                 1.0738,                0.99909,                0.99945,                0.99499,                0.95065,                0.93186,                0.92586,                0.94528,                0.74742,                0.36694,                  1.529,                      0,                0.19794,                0.76864,              0.0094885,              0.0094885,              0.0094885
