                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62913,                0.15498,                 1.0419,                0.49634,                 1.0369,                0.90054,                0.94937,                 0.9633,                0.82704,                0.88841,                0.93671,                0.95731,                0.92131,                 0.6539,                0.22423,                   4.04,                 0.4365,                 1.0423,                0.00016,                0.00016,                0.00016
                      2,                0.56346,                0.11094,                0.86323,                0.44363,                 1.0327,                0.87564,                      1,                0.97284,                0.83442,                0.86455,                0.98734,                0.96129,                0.92777,                0.68439,                0.21232,                 3.6885,                 0.4147,                 1.0757,             0.00033663,             0.00033663,             0.00033663
                      3,                0.57094,                0.12033,                0.81543,                0.44683,                 1.0108,                0.86635,                      1,                0.97386,                0.82924,                 0.8553,                0.98734,                0.96069,                0.92449,                0.69167,                0.22426,                 4.0335,                0.41207,                 1.0694,              0.0005097,              0.0005097,              0.0005097
                      4,                0.57669,                0.11943,                0.83905,                0.45101,                  1.018,                 0.8734,                0.98734,                0.97627,                0.82677,                0.86201,                0.97468,                0.96101,                0.91899,                0.68216,                0.23665,                 4.4729,                0.39508,                 1.0892,             0.00067921,             0.00067921,             0.00067921
                      5,                 0.5763,                0.12533,                0.84917,                0.44526,                 1.0174,                0.90556,                  0.971,                0.97978,                0.82683,                0.89377,                0.95849,                0.96162,                0.91237,                0.69561,                 0.2519,                  3.751,                0.38596,                 1.1001,             0.00084515,             0.00084515,             0.00084515
                      6,                0.61837,                0.15688,                0.98711,                0.46607,                   1.01,                0.90163,                0.97468,                0.98358,                0.82296,                0.88981,                0.96203,                0.96424,                 0.9202,                0.70175,                0.25112,                 3.9571,                0.39602,                 1.0957,              0.0010075,              0.0010075,              0.0010075
                      7,                0.59548,                0.12196,                0.85911,                0.44976,                 1.0462,                0.89451,                0.98734,                0.98212,                0.81597,                0.88304,                0.97468,                0.96399,                0.92426,                0.70909,                0.24203,                 3.9382,                0.40154,                 1.1045,              0.0011663,              0.0011663,              0.0011663
                      8,                0.61455,                0.13893,                0.95878,                0.45994,                 1.0226,                0.92577,                0.97468,                0.98274,                0.80248,                0.91358,                0.96203,                0.96369,                0.92263,                0.69128,                 0.2286,                 3.9842,                 0.6545,                 1.0498,              0.0013216,              0.0013216,              0.0013216
                      9,                0.56285,                0.09951,                0.84856,                0.42514,                 1.0436,                0.91446,                0.96203,                0.97611,                0.81569,                0.90243,                0.94937,                0.96279,                0.91714,                0.72528,                0.26366,                 3.6829,                0.43775,                 1.0864,              0.0014733,              0.0014733,              0.0014733
                     10,                0.63803,                0.14791,                 1.0461,                0.48022,                  1.059,                0.91167,                0.96203,                0.97576,                0.81199,                0.89886,                0.94937,                0.96271,                0.89021,                0.73737,                0.30131,                 3.3893,                 0.4367,                 1.0815,              0.0016214,              0.0016214,              0.0016214
                     11,                0.60893,                0.12533,                0.95701,                0.45695,                 1.0313,                0.93817,                0.96036,                0.98406,                0.78755,                0.92586,                0.94846,                0.96984,                0.90097,                 0.7403,                 0.2921,                 3.6595,                0.41228,                 1.1088,               0.001766,               0.001766,               0.001766
                     12,                0.59871,                0.10606,                0.91387,                 0.4479,                 1.0463,                0.98215,                0.92405,                0.98738,                0.82397,                0.96869,                0.91139,                0.97058,                0.92571,                0.70882,                0.25457,                 3.7677,                0.39562,                 1.0815,              0.0017822,              0.0017822,              0.0017822
                     13,                0.62394,                0.15278,                 1.0697,                0.46005,                 1.0547,                0.93338,                0.97468,                 0.9846,                0.83444,                0.92126,                0.96203,                0.96784,                0.92641,                 0.6968,                0.27172,                 3.9308,                0.38526,                 1.1133,              0.0017624,              0.0017624,              0.0017624
                     14,                0.75525,                0.18755,                 1.2905,                0.55968,                 1.0724,                0.90755,                0.99409,                0.98152,                0.77569,                0.89599,                0.98144,                0.96502,                0.92879,                0.83066,                0.26633,                 3.0075,                0.46666,                 1.1286,              0.0017426,              0.0017426,              0.0017426
                     15,                0.73818,                0.16291,                 1.1146,                0.53478,                 1.0827,                0.86636,                0.98475,                0.96062,                0.73018,                 0.8553,                0.97266,                 0.9435,                0.91151,                0.87514,                0.22038,                 3.5621,                0.51624,                 1.2524,              0.0017228,              0.0017228,              0.0017228
                     16,                0.64486,                0.11876,                0.94965,                0.47371,                 1.0807,                0.88678,                0.99146,                0.98423,                0.78705,                0.87549,                0.97906,                0.96972,                0.94041,                0.82421,                0.23711,                  3.652,                 0.4258,                 1.2129,               0.001703,               0.001703,               0.001703
                     17,                0.64727,                0.13595,                0.96379,                0.47397,                 1.0466,                0.95121,                0.98709,                0.98513,                0.83583,                0.93527,                0.97468,                0.97164,                0.94954,                0.68733,                0.23247,                  3.625,                0.40355,                 1.0895,              0.0016832,              0.0016832,              0.0016832
                     18,                0.68697,                0.15485,                  1.155,                0.50639,                 1.0491,                0.93658,                0.96203,                0.98047,                0.82571,                0.92426,                0.94937,                0.96591,                0.93807,                0.69785,                0.22507,                 3.9922,                0.41523,                 1.0823,              0.0016634,              0.0016634,              0.0016634
                     19,                0.60418,                0.12056,                0.93202,                0.44814,                 1.0421,                0.94919,                0.94597,                0.98631,                0.81565,                0.93649,                0.93332,                0.97388,                0.92214,                 0.7123,                 0.2404,                 4.4868,                0.39622,                 1.0469,              0.0016436,              0.0016436,              0.0016436
                     20,                0.63936,                0.12859,                 1.0294,                0.47435,                 1.0632,                0.92923,                0.99728,                0.98967,                0.81127,                0.91744,                0.98462,                0.97392,                0.91256,                 0.7287,                0.29349,                 4.3444,                0.39134,                 1.0834,              0.0016238,              0.0016238,              0.0016238
                     21,                0.59697,                 0.1302,                0.99164,                 0.4489,                 1.0324,                0.91856,                0.99943,                0.98924,                0.82909,                0.90693,                0.98677,                0.97586,                0.93108,                0.71572,                0.25803,                 4.8694,                0.36933,                  1.079,               0.001604,               0.001604,               0.001604
                     22,                 0.6297,                0.13065,                 0.9336,                  0.466,                 1.0378,                0.90387,                0.95222,                0.98338,                0.79665,                0.89255,                0.94633,                0.96858,                0.92389,                0.75167,                0.25319,                 4.2567,                0.42436,                  1.087,              0.0015842,              0.0015842,              0.0015842
                     23,                0.64671,                0.15289,                 1.1104,                0.48741,                 1.0569,                0.89419,                0.96275,                0.96743,                0.81383,                 0.8829,                0.95441,                0.95399,                0.91343,                0.70134,                0.25305,                 4.4209,                0.44649,                 1.0674,              0.0015644,              0.0015644,              0.0015644
                     24,                0.65204,                0.14886,                 1.1145,                0.48979,                 1.0374,                0.94791,                0.96203,                0.97772,                0.79427,                0.93544,                0.94937,                0.96002,                0.92279,                0.72415,                0.22945,                 2.8989,                0.43829,                  1.098,              0.0015446,              0.0015446,              0.0015446
                     25,                0.64059,                0.12879,                 1.0502,                0.47407,                 1.0892,                0.88396,                0.97468,                0.98199,                0.82137,                0.87248,                0.96203,                0.96292,                0.92757,                0.69034,                0.25171,                 4.0145,                0.39896,                 1.0552,              0.0015248,              0.0015248,              0.0015248
                     26,                0.62511,                0.14423,                 1.0583,                0.47041,                 1.0351,                0.95108,                0.87342,                0.94783,                0.75994,                0.93358,                0.86076,                0.94046,                0.90191,                0.75123,                0.25312,                 4.2258,                  0.703,                 1.1074,               0.001505,               0.001505,               0.001505
                     27,                0.65588,                0.14635,                 1.0668,                0.48862,                 1.0862,                0.92652,                0.95766,                0.97916,                0.81746,                0.91428,                0.94514,                0.96452,                 0.9399,                0.73234,                0.21985,                 4.1094,                 0.4226,                 1.0938,              0.0014852,              0.0014852,              0.0014852
                     28,                0.62282,                0.13486,                 1.0114,                0.46076,                 1.0205,                0.92706,                0.96532,                 0.9807,                0.81005,                0.91496,                0.95342,                0.96563,                0.93666,                0.73186,                0.24632,                 4.4429,                0.42511,                 1.0634,              0.0014654,              0.0014654,              0.0014654
                     29,                0.62745,                0.14317,                 0.9978,                 0.4678,                 1.0346,                0.92648,                0.95706,                0.97991,                0.81853,                0.91423,                0.94457,                0.96712,                0.91496,                0.72013,                0.27952,                 3.6832,                0.42928,                 1.0624,              0.0014456,              0.0014456,              0.0014456
                     30,                0.59901,                0.10579,                0.86199,                0.43708,                 1.0511,                0.93671,                0.94937,                0.98259,                0.82834,                0.92406,                0.93671,                0.96888,                0.93789,                0.70079,                0.24103,                 4.0021,                0.40138,                 1.0839,              0.0014258,              0.0014258,              0.0014258
                     31,                0.61326,                 0.1409,                 1.0328,                 0.4573,                 1.0348,                0.97433,                0.96077,                 0.9915,                0.81929,                 0.9615,                0.94828,                0.98313,                0.92232,                0.74714,                0.29185,                 3.6148,                0.40711,                 1.1002,               0.001406,               0.001406,               0.001406
                     32,                0.58845,                0.11696,                0.91739,                0.43253,                 1.0567,                0.97604,                0.94937,                0.98771,                0.83274,                0.96258,                0.93671,                0.97684,                0.91729,                0.71832,                0.31509,                 4.1927,                0.42124,                 1.0996,              0.0013862,              0.0013862,              0.0013862
                     33,                0.63515,                0.13896,                 1.0379,                0.46875,                 1.0576,                0.94815,                0.92591,                 0.9737,                0.79748,                0.93521,                0.91354,                0.95499,                0.89399,                0.70626,                0.30299,                 4.1028,                0.46068,                 1.0612,              0.0013664,              0.0013664,              0.0013664
                     34,                0.59527,                0.13014,                0.89131,                0.45006,                 1.0112,                0.88599,                0.98734,                0.98137,                0.83132,                0.87456,                0.97468,                0.96551,                0.91159,                0.69402,                0.29993,                 3.3183,                0.38608,                 1.0582,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.5849,                0.12611,                0.86372,                0.43836,                 1.0213,                0.90357,                0.94892,                0.97117,                0.81011,                0.89153,                0.93637,                0.95773,                0.91378,                0.71171,                0.27691,                 3.3477,                0.44222,                 1.0854,              0.0013268,              0.0013268,              0.0013268
                     36,                0.59963,                0.12823,                0.91432,                0.44316,                 1.0406,                0.91687,                0.94937,                0.97635,                0.81593,                0.90441,                0.93671,                0.96243,                0.93997,                0.69591,                0.23098,                 3.4848,                0.43855,                 1.0692,               0.001307,               0.001307,               0.001307
                     37,                0.66232,                0.16364,                 1.0958,                0.48785,                 1.0178,                0.92272,                0.94937,                0.95496,                0.78242,                0.91029,                0.93671,                0.95107,                0.90073,                0.73611,                0.26536,                 4.0818,                0.48087,                 1.1069,              0.0012872,              0.0012872,              0.0012872
                     38,                0.59645,                0.13542,                0.92154,                0.44612,                 1.0241,                0.91297,                0.92405,                0.95972,                 0.7832,                0.90047,                0.91139,                0.95321,                0.90258,                0.75107,                0.26905,                 3.7076,                0.46435,                 1.1187,              0.0012674,              0.0012674,              0.0012674
                     39,                0.61757,                0.12762,                 0.9493,                0.45771,                 1.0382,                0.89965,                0.89873,                0.96003,                0.77698,                0.87043,                 0.9354,                0.95745,                0.89729,                0.77167,                0.30171,                 4.0022,                0.49404,                 1.1045,              0.0012476,              0.0012476,              0.0012476
                     40,                0.60197,                0.13392,                0.99334,                0.45183,                 1.0281,                0.88976,                0.92405,                0.94924,                0.78507,                0.88976,                0.92405,                0.95972,                0.91186,                0.70151,                0.28779,                 4.6459,                0.49949,                 1.0549,              0.0012278,              0.0012278,              0.0012278
                     41,                0.60893,                0.13585,                0.99568,                0.44324,                 1.0342,                0.93643,                0.93242,                 0.9807,                 0.8086,                0.92373,                0.91994,                0.97158,                 0.9154,                0.68817,                0.30459,                 4.0097,                0.41751,                  1.074,               0.001208,               0.001208,               0.001208
                     42,                0.56196,                 0.0984,                0.80905,                0.41626,                 1.0101,                0.98087,                0.92405,                0.98702,                0.82156,                0.96743,                0.91139,                0.97714,                0.93136,                0.70689,                0.27503,                 3.9096,                0.40375,                 1.0931,              0.0011882,              0.0011882,              0.0011882
                     43,                0.62034,                0.16203,                 1.0165,                0.46071,                 1.0018,                0.90654,                0.96203,                0.98531,                0.80023,                  0.905,                0.96474,                0.97582,                0.94001,                0.74419,                0.25577,                 4.1784,                0.44782,                 1.0894,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.5672,                0.11302,                0.84378,                0.42242,                 1.0121,                0.96719,                0.92405,                0.97626,                0.80063,                0.95394,                0.91139,                0.97345,                0.93992,                0.75868,                0.23519,                 4.1955,                0.43657,                 1.1126,              0.0011486,              0.0011486,              0.0011486
                     45,                0.58699,                0.12884,                0.90803,                0.44232,                 1.0351,                0.96988,                0.89873,                0.98081,                0.81632,                0.95606,                0.88608,                0.96866,                0.94459,                0.74025,                0.19843,                   3.79,                0.41388,                 1.1005,              0.0011288,              0.0011288,              0.0011288
                     46,                0.60737,                0.13731,                0.96616,                0.45426,                 1.0142,                0.95853,                0.92405,                0.98263,                0.81319,                0.94523,                0.91139,                0.97075,                0.95131,                 0.7286,                0.20764,                  3.439,                0.42146,                 1.1354,               0.001109,               0.001109,               0.001109
