                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48196,                0.98156,                0.23416,                0.30969,                0.98862,                0.95443,                0.91792,                0.97779,                 0.7622,                0.76941,                0.61816,                0.65486,                0.49641,                 0.8405,                 3.1533,                0.57219,                0.53189,                 1.0437,              0.0032963,              0.0032963,              0.0032963
                      2,                0.50635,                 1.0313,                0.23039,                0.32454,                0.99057,                0.99783,                0.99801,                0.99498,                0.94418,                0.97417,                0.97012,                0.96777,                0.94351,                0.35584,                0.45044,                  0.027,                0.21186,                0.64669,              0.0066165,              0.0066165,              0.0066165
                      3,                0.57585,                 1.1289,                0.24714,                0.36555,                 0.9968,                0.98963,                      1,                0.99476,                 0.9289,                0.93282,                0.92231,                 0.9345,                0.87789,                0.41558,                0.97014,                0.03435,                0.23281,                  0.677,              0.0099235,              0.0099235,              0.0099235
                      4,                0.60459,                 1.3553,                0.27464,                0.38439,                 1.0143,                0.95874,                0.93625,                0.98193,                0.75665,                 0.5738,                0.42107,                0.36938,                0.24985,                0.83085,                 4.4703,                0.20966,                0.47219,                 1.0643,              0.0099406,              0.0099406,              0.0099406
                      5,                0.61029,                 1.2939,                0.26438,                0.38672,                  1.018,                0.99397,                 0.9844,                 0.9947,                 0.9145,                0.86585,                0.87426,                0.83077,                0.74644,                 0.4418,                 1.3801,                 0.0512,                0.25849,                0.70021,              0.0099208,              0.0099208,              0.0099208
                      6,                0.56804,                 1.2352,                0.26296,                0.36305,                0.99858,                0.98994,                0.97993,                 0.9941,                0.84891,                 0.7661,                0.75896,                0.70136,                0.55322,                0.61674,                 2.5056,                0.14881,                 0.3374,                0.85463,               0.009901,               0.009901,               0.009901
                      7,                0.57008,                 1.1821,                0.26047,                 0.3659,                 1.0062,                 0.9842,                0.99299,                0.99472,                0.90089,                0.81682,                0.79482,                 0.7562,                0.65112,                0.49717,                 2.0332,                0.05708,                0.29057,                0.74785,              0.0098812,              0.0098812,              0.0098812
                      8,                0.56522,                  1.132,                0.26312,                0.36543,                 1.0076,                0.99986,                0.99801,                  0.995,                0.95284,                0.97791,                 0.9761,                0.97494,                0.94414,                0.34081,                0.46731,                0.02401,                0.20774,                0.63165,              0.0098614,              0.0098614,              0.0098614
                      9,                0.55785,                 1.1987,                0.25707,                0.37543,                0.99709,                0.99801,                0.99986,                  0.995,                 0.9491,                0.96592,                0.95987,                0.95708,                 0.8992,                0.34832,                0.65172,                0.03082,                0.20962,                0.63792,              0.0098416,              0.0098416,              0.0098416
                     10,                0.56199,                 1.1522,                0.26054,                0.36711,                 1.0248,                0.99984,                      1,                  0.995,                0.95604,                0.98398,                0.97856,                0.98031,                 0.9452,                0.32983,                0.42707,                0.02493,                0.19582,                0.62499,              0.0098218,              0.0098218,              0.0098218
