                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51022,                0.09292,                0.80912,                0.35921,                0.99105,                0.97497,                0.98985,                0.99298,                0.89482,                0.96997,                0.98477,                0.99183,                0.96774,                0.74829,                0.29447,                 1.1527,                0.34157,                 1.1312,               0.003252,               0.003252,               0.003252
                      2,                0.54496,                0.09842,                0.84118,                0.38248,                 1.0054,                0.97424,                0.96001,                0.99047,                0.85327,                0.96909,                0.95494,                0.98075,                0.95721,                0.72354,                  0.213,                0.97333,                 0.4255,                 1.0856,              0.0065645,              0.0065645,              0.0065645
                      3,                0.60711,                0.10713,                0.88602,                0.42821,                 1.0106,                0.95022,                0.96903,                0.98556,                0.83947,                0.95022,                0.96903,                 0.9871,                 0.9515,                0.93867,                0.42426,                 1.1511,                0.54677,                 1.2648,              0.0098559,              0.0098559,              0.0098559
                      4,                0.62224,                0.10785,                 0.9762,                0.43765,                 1.0202,                0.94943,                0.98985,                0.98756,                0.85267,                0.94456,                0.98477,                0.98485,                 0.9459,                0.79129,                0.39013,                 1.1133,                0.40167,                 1.0717,               0.009905,               0.009905,               0.009905
                      5,                0.63799,                0.11845,                 1.0716,                0.45058,                   1.03,                0.96026,                0.96447,                0.98497,                0.85273,                0.94831,                0.96954,                0.98073,                0.94442,                0.71336,                0.43485,                 1.3005,                0.50831,                 1.1306,              0.0098733,              0.0098733,              0.0098733
                      6,                0.60999,                0.11451,                 1.0349,                0.42522,                 1.0389,                0.97021,                0.97462,                0.99173,                 0.8913,                0.96516,                0.96954,                0.99011,                0.96134,                0.79898,                0.38074,                  1.034,                0.41147,                 1.1479,              0.0098417,              0.0098417,              0.0098417
                      7,                0.60595,                0.10678,                0.96846,                0.42566,                 1.0363,                0.96906,                0.88325,                0.95143,                0.78796,                0.97463,                0.88832,                0.95657,                0.92442,                  1.019,                0.33875,                 1.6486,                0.70734,                 1.2548,                0.00981,                0.00981,                0.00981
                      8,                0.61878,                0.11182,                0.96773,                0.43741,                 1.0203,                0.97607,                0.86294,                0.94268,                0.71655,                0.97033,                0.85787,                0.94762,                0.88444,                 1.1133,                0.46893,                 2.0923,                0.63219,                 1.3246,              0.0097783,              0.0097783,              0.0097783
                      9,                0.59439,                 0.1039,                0.95032,                0.41508,                 1.0344,                0.95033,                 0.9713,                0.98618,                0.85057,                0.94537,                0.96623,                 0.9828,                0.94252,                0.86438,                0.42546,                 1.3281,                 0.4951,                 1.2182,              0.0097467,              0.0097467,              0.0097467
                     10,                0.59924,                0.10263,                0.93594,                0.41812,                 1.0243,                 0.9697,                0.98985,                0.99228,                 0.8701,                0.96473,                0.98477,                0.99001,                0.96213,                 0.7083,                0.27403,                 1.1256,                0.36242,                 1.0674,               0.009715,               0.009715,               0.009715
                     11,                0.60898,                0.11393,                 1.0141,                0.42451,                 1.0248,                0.95038,                0.97234,                0.98436,                0.85436,                0.95533,                0.97714,                0.98394,                0.94745,                0.84876,                0.27948,                  1.226,                0.42225,                 1.1559,              0.0096833,              0.0096833,              0.0096833
                     12,                0.58404,                0.10979,                0.89661,                0.40694,                 1.0194,                 0.9585,                  0.938,                0.97787,                  0.791,                0.96372,                0.94386,                0.97983,                0.94514,                  1.244,                0.25504,                 1.1144,                0.50506,                 1.4512,              0.0096517,              0.0096517,              0.0096517
                     13,                0.59059,                0.10591,                0.96852,                0.40898,                 1.0189,                 0.9747,                0.97789,                0.99094,                0.86687,                0.96964,                0.97281,                0.98398,                0.93818,                0.72493,                0.25144,                 1.2226,                0.36968,                 1.1038,                0.00962,                0.00962,                0.00962
                     14,                0.58249,                0.10008,                0.92035,                0.40456,                 1.0244,                0.95908,                0.98985,                0.99228,                0.84921,                0.95406,                0.98477,                0.99029,                0.95779,                0.74405,                0.28601,                 1.1009,                0.36892,                 1.0344,              0.0095883,              0.0095883,              0.0095883
                     15,                0.57118,                0.09612,                0.91512,                0.39766,                  1.013,                0.93234,                0.99492,                0.99175,                0.86427,                0.92759,                0.98985,                0.98971,                0.96104,                0.71193,                0.23945,                 1.0346,                0.33623,                 1.0229,              0.0095567,              0.0095567,              0.0095567
                     16,                0.58245,                0.10108,                0.94874,                0.41143,                 1.0215,                0.97912,                0.95228,                0.97804,                0.82794,                0.97399,                 0.9505,                0.97231,                0.93232,                 0.8918,                0.34533,                 1.4607,                0.44315,                 1.1246,               0.009525,               0.009525,               0.009525
                     17,                0.59532,                0.11545,                0.94475,                0.41613,                 1.0067,                0.96945,                0.96649,                0.98075,                0.84705,                0.96024,                0.97462,                0.98007,                0.94308,                0.91114,                 0.3938,                  1.288,                 0.4635,                 1.1009,              0.0094933,              0.0094933,              0.0094933
