                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36448,                 1.0735,                 1.5097,                0.24243,                0.94103,                0.99733,                0.99869,                  0.995,                0.96732,                 0.9425,                0.94379,                0.93916,                0.92704,                0.26623,                0.53862,                0.03857,                0.15092,                0.70476,              0.0033019,              0.0033019,              0.0033019
                      2,                0.39226,                0.98824,                 1.2459,                 0.2577,                0.95099,                0.99739,                0.99978,                  0.995,                0.97014,                0.91872,                 0.9161,                0.91297,                0.88713,                0.30059,                0.81771,                0.06057,                0.16273,                0.73354,              0.0066024,              0.0066024,              0.0066024
                      3,                0.41844,                0.89911,                 1.1845,                0.27266,                0.95499,                0.99609,                0.99838,                0.99496,                0.90569,                0.86972,                0.85359,                0.82852,                0.74918,                0.47369,                 1.3702,                0.19215,                0.24538,                0.84502,              0.0098699,              0.0098699,              0.0098699
                      4,                0.46508,                 1.0246,                 1.3994,                0.29731,                0.97443,                 0.9948,                0.99984,                0.99485,                0.93181,                0.90158,                0.90327,                0.89329,                0.83331,                0.39218,                 1.0552,                0.12667,                0.20687,                0.78633,              0.0098515,              0.0098515,              0.0098515
                      5,                0.46878,                0.96491,                 1.3984,                0.30113,                0.97221,                0.98819,                0.98432,                0.99437,                0.91743,                0.83464,                0.82092,                 0.7951,                0.71462,                0.43647,                 1.6542,                0.58024,                0.25647,                0.80904,               0.009802,               0.009802,               0.009802
                      6,                0.46022,                0.95212,                 1.3296,                0.29476,                0.97215,                0.99475,                0.99869,                0.99496,                0.95017,                 0.8946,                0.88235,                0.85922,                0.81277,                0.35967,                  1.169,                0.07779,                0.18671,                0.76137,              0.0097525,              0.0097525,              0.0097525
                      7,                0.46129,                0.91553,                 1.3403,                0.29237,                0.97601,                0.99212,                0.98771,                0.99476,                0.92496,                0.83404,                0.82484,                0.80969,                0.75275,                0.43637,                  1.538,                0.39644,                0.25315,                 0.8104,               0.009703,               0.009703,               0.009703
                      8,                0.46687,                0.89167,                 1.3014,                0.29641,                0.97429,                0.99586,                0.99869,                0.99497,                0.95113,                0.93458,                0.93725,                0.92324,                0.89047,                0.34404,                0.74279,                0.16729,                0.19481,                0.75297,              0.0096535,              0.0096535,              0.0096535
                      9,                0.46827,                0.88757,                 1.2826,                0.30201,                0.96887,                0.99609,                 0.9985,                  0.995,                0.95133,                0.94811,                0.94379,                0.93672,                0.90447,                 0.3355,                0.63688,                0.09447,                0.19081,                0.74767,               0.009604,               0.009604,               0.009604
                     10,                0.46171,                0.84905,                 1.2723,                0.29988,                0.97107,                0.99869,                0.99943,                  0.995,                0.95695,                0.96722,                0.96433,                0.96612,                0.92928,                0.33125,                0.47136,                0.04659,                 0.1811,                0.74567,              0.0095545,              0.0095545,              0.0095545
                     11,                0.46232,                0.83874,                 1.2509,                 0.3002,                0.96654,                0.99284,                0.99739,                0.99468,                 0.9137,                0.87965,                0.87451,                0.84034,                0.75361,                0.42591,                 1.2338,                0.26849,                0.23742,                0.80771,               0.009505,               0.009505,               0.009505
                     12,                0.46516,                0.83382,                 1.2146,                0.30103,                0.96462,                0.99166,                0.99216,                0.99477,                0.94307,                0.93677,                0.93725,                0.93079,                0.87212,                0.36218,                0.70356,                0.19652,                0.20945,                0.75966,              0.0094555,              0.0094555,              0.0094555
                     13,                0.45744,                0.74353,                 1.1531,                0.29707,                0.96803,                0.99739,                0.99983,                  0.995,                0.95959,                0.96204,                0.96074,                0.96787,                0.93174,                0.32575,                0.46816,                0.07802,                0.16849,                0.74067,               0.009406,               0.009406,               0.009406
                     14,                0.45842,                0.75237,                 1.1964,                0.29661,                0.96699,                0.99852,                      1,                  0.995,                0.96067,                0.95545,                0.95686,                0.94555,                0.92217,                0.31501,                0.54696,                0.12895,                 0.1709,                0.73371,              0.0093565,              0.0093565,              0.0093565
                     15,                0.44854,                0.73604,                 1.1245,                0.29043,                0.96795,                0.99593,                0.99869,                0.99495,                0.95993,                0.96942,                0.96601,                0.96206,                0.93898,                0.32045,                0.39504,                0.07559,                0.17443,                0.73897,               0.009307,               0.009307,               0.009307
                     16,                0.44846,                 0.6913,                  1.138,                0.28819,                0.97058,                0.99555,                      1,                0.99496,                0.95158,                0.93679,                0.92549,                0.91825,                0.88659,                0.33385,                0.63097,                0.13049,                0.17593,                0.73924,              0.0092575,              0.0092575,              0.0092575
                     17,                0.46034,                0.70483,                  1.144,                0.29971,                0.96562,                0.99739,                 0.9999,                  0.995,                0.95872,                0.95157,                0.95294,                0.95665,                0.92799,                0.33191,                0.50999,                0.07324,                0.17624,                0.74103,               0.009208,               0.009208,               0.009208
                     18,                0.44803,                0.66526,                 1.0644,                0.28992,                 0.9581,                0.99347,                0.99397,                0.99495,                0.96218,                0.96278,                0.96471,                0.96586,                 0.9433,                0.32733,                0.44629,                0.09209,                0.18133,                0.72948,              0.0091585,              0.0091585,              0.0091585
                     19,                0.45673,                0.73631,                 1.1203,                0.29598,                0.96797,                0.99608,                0.99724,                0.99492,                0.94573,                0.93994,                0.94104,                0.92904,                0.88438,                0.36797,                0.71639,                 0.1375,                0.20424,                0.75362,               0.009109,               0.009109,               0.009109
                     20,                0.45022,                0.72179,                 1.1192,                0.29335,                0.95522,                0.99451,                0.99739,                0.99485,                0.93549,                0.95278,                0.95556,                0.94457,                0.90409,                0.36698,                0.49253,                0.12258,                0.19362,                0.76283,              0.0090595,              0.0090595,              0.0090595
                     21,                0.44721,                0.66443,                 1.0618,                0.29356,                0.96915,                0.97086,                0.95812,                0.99209,                0.87488,                0.73572,                0.67685,                0.68348,                0.62311,                0.55645,                 2.8631,                  0.809,                 0.3645,                0.88754,                0.00901,                0.00901,                0.00901
                     22,                0.44264,                0.63088,                 1.0482,                0.29193,                0.95443,                0.99721,                      1,                  0.995,                0.95166,                0.96767,                0.96209,                0.96667,                 0.9454,                0.34833,                0.44603,                0.08277,                0.18814,                0.74885,              0.0089605,              0.0089605,              0.0089605
                     23,                0.44751,                 0.6418,                 1.0623,                0.29036,                0.96217,                0.99609,                0.99981,                  0.995,                  0.956,                0.94394,                0.93725,                0.93064,                0.89186,                0.33854,                0.77443,                0.12868,                0.17849,                0.74456,               0.008911,               0.008911,               0.008911
                     24,                0.44259,                0.65419,                 1.0515,                0.28748,                0.95389,                0.99821,                0.98431,                0.99486,                0.93452,                0.92261,                 0.9098,                0.91873,                0.85679,                0.38653,                0.90156,                0.28988,                0.20488,                0.77397,              0.0088615,              0.0088615,              0.0088615
                     25,                0.45056,                0.65848,                 1.0266,                0.29321,                0.96104,                0.99824,                0.99739,                  0.995,                 0.9487,                0.95895,                0.95817,                0.96407,                0.92072,                0.34385,                0.54105,                0.12721,                0.18687,                0.75116,               0.008812,               0.008812,               0.008812
                     26,                0.43893,                0.67767,                 1.0715,                0.28724,                0.96608,                0.99834,                      1,                  0.995,                0.95387,                 0.9475,                0.94358,                0.94056,                0.89634,                0.32946,                0.82723,                0.08436,                 0.1852,                 0.7318,              0.0087625,              0.0087625,              0.0087625
