                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6125,                0.45603,                 1.8818,                0.83314,                0.76802,                0.79744,                0.69398,                0.74587,                0.82257,                 2.0108,              0.0082675,              0.0082675,              0.0082675
                     37,                0.61717,                0.45426,                 1.8757,                 0.8435,                0.74957,                0.78837,                0.68189,                0.72978,                  0.849,                 1.9987,               0.008218,               0.008218,               0.008218
                     38,                0.61372,                0.45031,                 1.8692,                0.83674,                0.76953,                0.79697,                0.69343,                0.71547,                0.73666,                 1.9807,              0.0081685,              0.0081685,              0.0081685
                     39,                0.60315,                0.44601,                 1.8732,                0.82362,                 0.7657,                 0.7841,                0.68583,                0.72331,                0.83872,                 2.0143,               0.008119,               0.008119,               0.008119
                     40,                0.60364,                0.44687,                 1.8792,                0.83735,                0.76835,                0.78562,                0.69086,                0.71942,                0.88002,                 2.0141,              0.0080695,              0.0080695,              0.0080695
                     41,                0.61053,                 0.4531,                 1.8705,                0.80866,                0.77583,                0.79134,                 0.6924,                0.69724,                0.79735,                      2,                0.00802,                0.00802,                0.00802
                     42,                0.61357,                0.45198,                 1.8821,                 0.8093,                0.78092,                0.78722,                0.68196,                0.71492,                0.74501,                  1.993,              0.0079705,              0.0079705,              0.0079705
                     43,                0.59735,                0.44537,                 1.8713,                0.80831,                0.78982,                0.79353,                0.69362,                0.67837,                0.77471,                 1.9532,               0.007921,               0.007921,               0.007921
                     44,                0.60819,                0.44233,                  1.861,                0.79526,                0.80569,                0.80686,                0.70203,                0.67531,                0.75865,                 1.9307,              0.0078715,              0.0078715,              0.0078715
                     45,                0.60339,                0.43824,                  1.857,                0.85501,                0.74046,                0.79245,                0.69438,                0.68335,                0.80813,                 1.9486,               0.007822,               0.007822,               0.007822
                     46,                0.60399,                0.43949,                 1.8613,                0.84784,                0.76893,                0.79156,                0.69438,                0.67918,                0.75495,                 1.9729,              0.0077725,              0.0077725,              0.0077725
                     47,                 0.6007,                0.43738,                 1.8708,                0.85475,                0.74485,                0.79954,                0.69774,                0.67325,                0.75549,                 1.9635,               0.007723,               0.007723,               0.007723
                     48,                0.59677,                0.43422,                 1.8622,                0.78868,                0.80422,                 0.7998,                0.69608,                0.69257,                0.79314,                 1.9915,              0.0076735,              0.0076735,              0.0076735
                     49,                0.60213,                0.43908,                 1.8592,                 0.8287,                0.77597,                0.79319,                0.69779,                0.68417,                0.86206,                 1.9694,               0.007624,               0.007624,               0.007624
                     50,                0.58597,                0.42552,                 1.8584,                0.83554,                0.76813,                0.80116,                0.70786,                0.67261,                0.82248,                 1.9714,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.5924,                0.43083,                 1.8575,                0.83073,                0.77383,                0.80718,                0.70544,                0.67433,                0.81748,                 1.9661,               0.007525,               0.007525,               0.007525
                     52,                0.58875,                0.42446,                 1.8501,                0.83412,                0.75971,                 0.8015,                0.70309,                0.67525,                0.79521,                 1.9616,              0.0074755,              0.0074755,              0.0074755
                     53,                0.58243,                0.42403,                 1.8566,                0.80378,                0.78511,                0.79901,                0.70515,                 0.6706,                0.75339,                 1.9478,               0.007426,               0.007426,               0.007426
                     54,                0.57817,                0.42365,                 1.8526,                0.81582,                0.78944,                0.80214,                0.70826,                0.69247,                0.78908,                 1.9732,              0.0073765,              0.0073765,              0.0073765
                     55,                0.58148,                0.42142,                 1.8426,                0.82642,                0.78557,                0.80039,                0.71129,                0.69548,                0.81903,                 1.9722,               0.007327,               0.007327,               0.007327
                     56,                0.57994,                0.41455,                 1.8413,                0.82662,                0.78446,                 0.7985,                0.70978,                0.70173,                0.77006,                 1.9875,              0.0072775,              0.0072775,              0.0072775
                     57,                0.56987,                0.41617,                 1.8486,                0.84105,                0.77975,                0.79442,                0.70701,                0.68495,                0.79414,                 1.9572,               0.007228,               0.007228,               0.007228
                     58,                0.58089,                0.42564,                 1.8517,                0.84633,                0.78397,                 0.8041,                0.71266,                0.68612,                0.81075,                 1.9659,              0.0071785,              0.0071785,              0.0071785
                     59,                0.58373,                0.42074,                 1.8511,                0.84376,                0.78896,                0.80411,                 0.7103,                0.67848,                0.78654,                 1.9565,               0.007129,               0.007129,               0.007129
                     60,                0.58242,                0.42295,                 1.8498,                0.84975,                0.78562,                0.80395,                0.71071,                0.67365,                0.76884,                 1.9558,              0.0070795,              0.0070795,              0.0070795
                     61,                0.56068,                0.41273,                 1.8495,                 0.8445,                0.78938,                0.80246,                 0.7083,                0.67518,                0.74922,                 1.9622,                0.00703,                0.00703,                0.00703
                     62,                 0.5596,                0.40389,                 1.8472,                0.83897,                 0.7823,                0.80638,                0.71059,                0.67603,                0.75111,                 1.9571,              0.0069805,              0.0069805,              0.0069805
                     63,                0.56906,                0.41278,                 1.8418,                  0.819,                0.78808,                 0.8062,                0.71045,                 0.6729,                 0.7427,                 1.9572,               0.006931,               0.006931,               0.006931
                     64,                0.56035,                0.40936,                 1.8432,                0.83461,                0.77345,                0.80413,                 0.7133,                0.67563,                0.75305,                 1.9703,              0.0068815,              0.0068815,              0.0068815
                     65,                  0.562,                0.40404,                 1.8357,                0.82709,                0.77534,                0.80431,                0.71738,                 0.6812,                0.75091,                 1.9867,               0.006832,               0.006832,               0.006832
                     66,                 0.5708,                0.41222,                 1.8405,                0.80758,                0.78514,                0.80596,                0.71692,                0.68557,                0.72956,                  1.989,              0.0067825,              0.0067825,              0.0067825
                     67,                0.55613,                 0.4023,                  1.832,                0.81775,                0.77333,                0.80697,                0.71489,                0.68731,                0.73869,                 1.9931,               0.006733,               0.006733,               0.006733
                     68,                0.56573,                0.40815,                 1.8396,                0.82329,                0.77073,                0.81135,                0.71821,                 0.6781,                0.75694,                 1.9768,              0.0066835,              0.0066835,              0.0066835
                     69,                0.56138,                0.40574,                 1.8362,                0.83889,                0.75969,                0.81018,                0.71829,                0.67314,                 0.7687,                 1.9693,               0.006634,               0.006634,               0.006634
                     70,                0.55714,                 0.4026,                 1.8379,                0.83716,                0.76104,                0.81156,                0.71934,                0.67173,                0.78401,                 1.9679,              0.0065845,              0.0065845,              0.0065845
                     71,                0.55857,                0.40116,                 1.8284,                0.83299,                0.76218,                0.81548,                0.72092,                  0.675,                 0.7755,                 1.9711,               0.006535,               0.006535,               0.006535
                     72,                0.54933,                0.39571,                 1.8286,                0.82965,                0.76737,                0.81086,                0.71439,                0.67105,                0.78089,                 1.9689,              0.0064855,              0.0064855,              0.0064855
                     73,                0.55624,                0.39714,                 1.8275,                 0.8209,                0.77456,                0.80707,                 0.7142,                  0.669,                0.76845,                 1.9738,               0.006436,               0.006436,               0.006436
                     74,                 0.5536,                0.39483,                 1.8212,                0.82195,                0.77307,                0.80602,                0.71633,                0.67065,                0.78362,                  1.976,              0.0063865,              0.0063865,              0.0063865
                     75,                0.55475,                0.39982,                  1.824,                0.82245,                0.77376,                0.80523,                0.71474,                 0.6721,                0.79826,                 1.9754,               0.006337,               0.006337,               0.006337
                     76,                0.55139,                0.39544,                 1.8321,                0.82261,                0.77526,                0.80731,                0.71557,                0.67294,                0.79104,                 1.9777,              0.0062875,              0.0062875,              0.0062875
                     77,                0.54708,                0.39081,                 1.8309,                0.82665,                0.77542,                0.80755,                0.71631,                0.67391,                0.79675,                 1.9808,               0.006238,               0.006238,               0.006238
                     78,                0.54235,                0.39203,                 1.8292,                0.82629,                0.77542,                0.80904,                0.71699,                0.67615,                0.78466,                 1.9903,              0.0061885,              0.0061885,              0.0061885
                     79,                0.54506,                0.38788,                 1.8234,                0.82312,                 0.7839,                0.80901,                0.71804,                0.67203,                0.78194,                 1.9772,               0.006139,               0.006139,               0.006139
                     80,                 0.5424,                0.39304,                 1.8265,                0.82832,                0.78292,                0.80819,                0.71745,                0.67363,                0.79226,                 1.9801,              0.0060895,              0.0060895,              0.0060895
                     81,                0.53967,                0.38207,                 1.8139,                0.82961,                0.78484,                0.80826,                0.71853,                0.67351,                0.80904,                 1.9785,                0.00604,                0.00604,                0.00604
                     82,                0.53906,                0.38359,                  1.811,                0.83029,                0.78395,                0.81007,                0.71921,                0.67444,                0.79701,                 1.9782,              0.0059905,              0.0059905,              0.0059905
                     83,                 0.5382,                0.38043,                 1.8208,                0.83041,                0.78323,                0.80701,                0.71665,                0.67588,                0.78173,                 1.9795,               0.005941,               0.005941,               0.005941
                     84,                0.53921,                0.38404,                  1.818,                0.83137,                0.77947,                0.80589,                  0.717,                 0.6725,                0.77665,                  1.974,              0.0058915,              0.0058915,              0.0058915
                     85,                0.53666,                0.38137,                 1.8138,                0.83085,                0.77953,                0.80696,                0.71891,                0.67175,                0.77813,                 1.9707,               0.005842,               0.005842,               0.005842
