                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.53487,                0.08632,                0.90771,                0.37569,                 1.0012,                0.97788,                0.97328,                0.99129,                0.89363,                0.97185,                0.97705,                0.99063,                0.95747,                0.50091,                0.17017,                 1.5416,                0.26301,                0.89925,                0.00868,                0.00868,                0.00868
                     24,                0.53548,                0.08565,                0.86267,                0.37784,                 1.0023,                0.96874,                0.97446,                0.98428,                0.89353,                0.96249,                0.96817,                0.98181,                0.94394,                0.51012,                0.21406,                 1.7433,                0.30267,                0.89605,                0.00862,                0.00862,                0.00862
                     25,                0.53367,                0.08465,                 0.8696,                0.37434,                0.99937,                0.95707,                0.98147,                0.98927,                0.88521,                0.95404,                0.98113,                0.98534,                0.94518,                0.50893,                0.19537,                 1.6204,                0.28424,                0.89892,                0.00856,                0.00856,                0.00856
                     26,                 0.5208,                0.07488,                0.81773,                0.36411,                 1.0006,                0.96272,                0.97442,                0.98988,                0.87864,                0.96272,                0.97442,                 0.9896,                0.95699,                0.51692,                0.16183,                 1.5835,                0.28737,                0.90944,                 0.0085,                 0.0085,                 0.0085
                     27,                0.54778,                0.08902,                0.92371,                0.38007,                0.99693,                0.96897,                0.96541,                0.97958,                0.85707,                0.96897,                0.96541,                0.97706,                0.93492,                0.55399,                0.19502,                 1.7231,                0.36677,                0.91602,                0.00844,                0.00844,                0.00844
                     28,                0.53099,                0.08044,                0.85792,                0.36833,                 1.0015,                0.97522,                0.99014,                 0.9908,                0.90781,                0.97212,                0.98699,                 0.9903,                0.96006,                0.49126,                0.15396,                 1.9539,                0.24797,                0.88965,                0.00838,                0.00838,                0.00838
                     29,                0.52908,                0.08216,                0.83585,                0.37236,                0.99176,                0.96634,                0.99293,                0.99115,                0.90269,                0.96327,                0.98978,                0.99057,                 0.9573,                0.47219,                0.15789,                 1.5053,                0.24721,                0.88914,                0.00832,                0.00832,                0.00832
                     30,                0.53976,                0.08598,                 0.8684,                0.37611,                0.99641,                 0.9722,                0.98984,                 0.9912,                0.90458,                0.96911,                 0.9867,                0.99066,                0.95906,                0.47584,                0.16036,                 1.8606,                0.26049,                0.87867,                0.00826,                0.00826,                0.00826
                     31,                0.54252,                0.09003,                0.90147,                0.38045,                0.99544,                0.96915,                0.98742,                0.98899,                0.90175,                0.96606,                0.98428,                0.98911,                0.95605,                 0.4785,                0.16623,                  2.006,                0.25543,                 0.8832,                 0.0082,                 0.0082,                 0.0082
                     32,                0.53141,                0.08064,                0.86663,                0.37014,                0.99508,                0.97515,                0.98737,                0.98753,                0.89549,                0.96623,                0.98988,                0.98702,                0.95084,                0.48385,                0.18195,                  1.971,                0.25983,                0.88568,                0.00814,                0.00814,                0.00814
                     33,                0.52721,                0.08313,                 0.7915,                0.37003,                 1.0028,                0.96226,                0.99371,                 0.9911,                0.90072,                0.95922,                0.99057,                0.99045,                0.96048,                0.49436,                0.16356,                 2.0097,                0.25796,                0.89559,                0.00808,                0.00808,                0.00808
                     34,                0.52661,                0.08243,                0.83712,                0.36664,                0.99579,                0.96361,                0.99371,                0.99133,                0.91337,                0.96319,                0.98747,                0.99077,                0.96104,                0.47827,                0.17106,                 2.1747,                0.25235,                0.88462,                0.00802,                0.00802,                0.00802
                     35,                0.53004,                0.08219,                0.82841,                0.36765,                  1.002,                0.96632,                0.99238,                0.99027,                0.90641,                0.96632,                0.99238,                0.98934,                0.95732,                0.49453,                0.16085,                 1.8985,                0.26374,                0.88455,                0.00796,                0.00796,                0.00796
                     36,                 0.5251,                0.08443,                 0.8411,                0.37099,                0.99322,                 0.9753,                0.99338,                0.99076,                0.91132,                0.97221,                0.99023,                0.99026,                 0.9562,                0.49157,                0.18747,                 1.6329,                0.26268,                0.88476,                 0.0079,                 0.0079,                 0.0079
                     37,                  0.533,                0.08146,                0.84114,                0.37345,                0.99943,                0.97528,                0.97799,                0.99071,                0.90573,                0.97215,                0.97484,                0.99015,                0.96039,                0.48821,                  0.169,                 1.7272,                0.25516,                0.89284,                0.00784,                0.00784,                0.00784
                     38,                0.53531,                0.08779,                 0.8738,                0.37759,                 0.9931,                 0.9686,                0.99057,                0.98875,                0.89059,                 0.9686,                0.99057,                0.98833,                0.95239,                0.50152,                0.16509,                  1.978,                0.27317,                0.88695,                0.00778,                0.00778,                0.00778
                     39,                 0.5236,                0.08245,                0.82027,                0.36646,                0.99565,                 0.9778,                0.96957,                   0.99,                0.88452,                0.97237,                 0.9717,                0.99007,                0.95717,                0.50299,                0.15093,                 1.8106,                0.26773,                0.90166,                0.00772,                0.00772,                0.00772
