                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80364,                 0.6814,                 2.0238,                0.86384,                0.80375,                 0.8796,                0.75819,                0.72447,                0.83487,                 1.8673,              0.0095191,              0.0095191,              0.0095191
                     36,                0.81868,                0.69632,                 2.0225,                0.85732,                0.82768,                0.89064,                0.75955,                0.73735,                0.93141,                  1.865,               0.009505,               0.009505,               0.009505
                     37,                0.80868,                0.68995,                  2.015,                0.88979,                0.78631,                0.88159,                 0.7562,                0.73271,                0.97404,                 1.8828,              0.0094909,              0.0094909,              0.0094909
                     38,                0.81349,                0.68702,                 2.0224,                0.84917,                0.84642,                0.89886,                 0.7748,                0.73638,                  1.043,                 1.8672,              0.0094767,              0.0094767,              0.0094767
                     39,                 0.7957,                 0.6652,                 2.0032,                0.88355,                0.82284,                0.89094,                0.76864,                0.72431,                0.98229,                 1.8674,              0.0094626,              0.0094626,              0.0094626
                     40,                0.79335,                0.66789,                 1.9994,                0.87072,                0.83634,                0.89408,                0.77649,                0.73717,                 0.9438,                 1.8555,              0.0094484,              0.0094484,              0.0094484
                     41,                 0.8066,                0.67836,                 1.9988,                0.86061,                 0.8248,                   0.89,                0.77218,                0.72108,                0.85772,                  1.851,              0.0094343,              0.0094343,              0.0094343
                     42,                0.79185,                0.65857,                 2.0038,                0.87382,                0.82984,                0.89525,                0.77541,                0.70196,                0.88898,                 1.8498,              0.0094201,              0.0094201,              0.0094201
                     43,                0.79021,                0.65863,                 1.9973,                0.85896,                0.84818,                0.90252,                0.77933,                0.71912,                0.83244,                 1.8682,               0.009406,               0.009406,               0.009406
                     44,                0.78903,                0.65636,                 1.9932,                0.89094,                0.81833,                0.89486,                0.77379,                0.70986,                0.86041,                 1.8595,              0.0093919,              0.0093919,              0.0093919
                     45,                0.78588,                0.65532,                 1.9916,                  0.898,                0.82419,                0.90253,                0.78885,                0.69868,                0.72141,                 1.8307,              0.0093777,              0.0093777,              0.0093777
                     46,                0.78418,                0.64884,                  1.987,                0.87542,                0.84705,                0.90381,                0.78933,                 0.6902,                0.93255,                 1.8387,              0.0093636,              0.0093636,              0.0093636
                     47,                0.78423,                0.65333,                 2.0019,                0.86668,                0.84728,                0.90385,                 0.7871,                0.68507,                0.98356,                 1.8226,              0.0093494,              0.0093494,              0.0093494
                     48,                0.77695,                0.63669,                 1.9851,                0.87746,                0.85712,                0.90097,                0.78554,                0.69713,                0.78947,                  1.832,              0.0093353,              0.0093353,              0.0093353
                     49,                0.78257,                0.65177,                 1.9892,                0.89136,                0.83819,                0.90293,                0.78788,                0.70161,                  0.783,                 1.8418,              0.0093211,              0.0093211,              0.0093211
                     50,                0.78061,                 0.6446,                 1.9899,                0.87744,                0.83047,                0.89828,                0.78286,                0.70863,                0.81124,                 1.8397,               0.009307,               0.009307,               0.009307
                     51,                0.77839,                0.63656,                 1.9741,                0.88235,                0.84324,                0.90304,                0.78607,                0.70173,                0.84803,                  1.824,              0.0092929,              0.0092929,              0.0092929
                     52,                0.78416,                0.64467,                 1.9869,                0.89098,                0.85796,                0.90632,                0.79202,                 0.6983,                0.89787,                 1.8355,              0.0092787,              0.0092787,              0.0092787
                     53,                0.77006,                0.63126,                 1.9679,                0.90045,                0.83359,                0.90385,                0.79081,                0.69245,                0.80461,                 1.8264,              0.0092646,              0.0092646,              0.0092646
                     54,                0.76646,                0.63131,                 1.9755,                 0.8939,                  0.843,                0.90614,                0.79078,                 0.6959,                0.83077,                 1.8305,              0.0092504,              0.0092504,              0.0092504
                     55,                0.77002,                0.63476,                 1.9828,                0.89011,                0.85043,                0.90544,                0.79536,                0.68552,                0.83764,                 1.8133,              0.0092363,              0.0092363,              0.0092363
                     56,                0.76878,                0.62521,                 1.9686,                0.90731,                0.84998,                0.90635,                0.79538,                0.69301,                0.80947,                 1.8177,              0.0092221,              0.0092221,              0.0092221
                     57,                0.77345,                0.63117,                 1.9803,                0.89459,                 0.8595,                0.90976,                0.79745,                  0.689,                 0.8264,                 1.8254,               0.009208,               0.009208,               0.009208
                     58,                0.76337,                0.62231,                 1.9616,                 0.8854,                0.84659,                0.90532,                0.79595,                0.68402,                0.86194,                 1.8271,              0.0091939,              0.0091939,              0.0091939
                     59,                0.76297,                0.62097,                 1.9743,                0.89984,                 0.8368,                0.90415,                0.79268,                0.68779,                0.81796,                 1.8246,              0.0091797,              0.0091797,              0.0091797
                     60,                0.75208,                0.61193,                  1.968,                0.90688,                 0.8387,                0.90765,                0.79671,                0.68586,                0.81058,                 1.8246,              0.0091656,              0.0091656,              0.0091656
                     61,                0.75482,                0.61015,                 1.9653,                0.90796,                0.84008,                0.90753,                0.80028,                0.68331,                0.78871,                 1.8198,              0.0091514,              0.0091514,              0.0091514
                     62,                0.75587,                0.61476,                 1.9645,                0.90225,                0.84246,                0.90734,                0.79928,                0.67971,                0.72903,                 1.8209,              0.0091373,              0.0091373,              0.0091373
                     63,                0.75969,                0.61096,                 1.9629,                0.89674,                0.85456,                0.90973,                0.80084,                0.67479,                0.68579,                 1.8111,              0.0091231,              0.0091231,              0.0091231
                     64,                 0.7566,                0.60989,                 1.9648,                0.90656,                0.85393,                0.90943,                0.80146,                0.68145,                0.71391,                 1.8185,               0.009109,               0.009109,               0.009109
                     65,                0.74929,                0.60356,                 1.9561,                0.90795,                 0.8576,                0.91037,                0.80165,                0.68274,                0.79076,                 1.8204,              0.0090949,              0.0090949,              0.0090949
                     66,                0.75324,                0.60855,                 1.9544,                0.91488,                0.84739,                0.91005,                0.80226,                0.68104,                0.79684,                 1.8191,              0.0090807,              0.0090807,              0.0090807
                     67,                0.75105,                0.60273,                 1.9546,                0.91372,                0.84883,                0.90881,                0.80174,                 0.6728,                0.79656,                 1.8099,              0.0090666,              0.0090666,              0.0090666
                     68,                0.74516,                0.60006,                 1.9552,                0.90616,                0.85015,                0.91099,                0.80259,                0.67147,                0.80691,                 1.8157,              0.0090524,              0.0090524,              0.0090524
                     69,                0.75997,                0.60621,                 1.9502,                0.91108,                0.85144,                0.91211,                0.80675,                0.66395,                0.79959,                 1.8084,              0.0090383,              0.0090383,              0.0090383
                     70,                 0.7541,                0.60599,                 1.9563,                0.91202,                0.85508,                0.91274,                0.80812,                0.66717,                0.84777,                 1.8062,              0.0090241,              0.0090241,              0.0090241
                     71,                0.75032,                 0.6072,                 1.9612,                0.91335,                 0.8512,                0.91427,                0.80956,                0.66641,                0.86663,                 1.8021,                0.00901,                0.00901,                0.00901
                     72,                 0.7473,                0.59477,                 1.9556,                0.90055,                0.86462,                0.91426,                0.80918,                0.66493,                0.86068,                  1.804,              0.0089959,              0.0089959,              0.0089959
                     73,                0.74181,                0.59096,                 1.9579,                0.90257,                0.85618,                0.91331,                 0.8094,                0.67201,                0.86367,                 1.8091,              0.0089817,              0.0089817,              0.0089817
                     74,                0.73845,                0.58279,                 1.9471,                0.90671,                0.85833,                0.91302,                0.81115,                0.66923,                0.85558,                  1.806,              0.0089676,              0.0089676,              0.0089676
                     75,                0.73914,                0.59549,                  1.953,                0.90494,                0.85858,                0.91357,                 0.8136,                0.66929,                0.87405,                 1.8066,              0.0089534,              0.0089534,              0.0089534
                     76,                0.74006,                0.58721,                 1.9531,                0.90517,                0.85139,                0.91385,                0.81133,                0.67001,                0.87469,                 1.8094,              0.0089393,              0.0089393,              0.0089393
                     77,                0.74165,                0.58947,                 1.9456,                0.90522,                0.85246,                0.91346,                0.81207,                0.66702,                0.87036,                  1.803,              0.0089251,              0.0089251,              0.0089251
                     78,                0.73584,                0.58853,                 1.9478,                 0.9118,                0.84839,                0.91377,                0.81099,                0.66339,                0.88023,                 1.7987,               0.008911,               0.008911,               0.008911
                     79,                0.73852,                0.58654,                 1.9435,                0.91413,                 0.8453,                0.91377,                0.81061,                0.66127,                0.86977,                 1.7979,              0.0088969,              0.0088969,              0.0088969
                     80,                0.73756,                0.58937,                 1.9423,                0.90922,                0.84797,                0.91267,                0.81081,                0.66104,                 0.8816,                 1.7979,              0.0088827,              0.0088827,              0.0088827
                     81,                0.74127,                0.58551,                 1.9374,                0.90413,                0.85402,                0.91369,                0.81153,                0.65832,                0.89432,                 1.7963,              0.0088686,              0.0088686,              0.0088686
                     82,                0.74915,                0.59285,                 1.9437,                0.90017,                0.85536,                0.91488,                  0.811,                0.65545,                0.88213,                 1.7925,              0.0088544,              0.0088544,              0.0088544
                     83,                0.73785,                0.58713,                  1.946,                 0.9037,                0.85819,                0.91499,                0.81107,                0.65672,                0.87928,                 1.7927,              0.0088403,              0.0088403,              0.0088403
                     84,                0.72966,                0.58267,                 1.9497,                0.90625,                0.85463,                0.91443,                0.81159,                0.65704,                0.87679,                 1.7934,              0.0088261,              0.0088261,              0.0088261
                     85,                0.73572,                0.58466,                 1.9375,                0.90719,                0.85521,                0.91508,                0.81181,                0.65539,                0.87277,                  1.795,               0.008812,               0.008812,               0.008812
                     86,                 0.7388,                0.57803,                 1.9357,                 0.9062,                0.85584,                 0.9146,                0.81326,                0.65539,                0.87607,                 1.7951,              0.0087979,              0.0087979,              0.0087979
                     87,                0.73814,                0.58416,                 1.9425,                0.91073,                0.85067,                0.91529,                0.81372,                 0.6539,                0.87537,                  1.794,              0.0087837,              0.0087837,              0.0087837
                     88,                   0.73,                0.57977,                 1.9351,                0.90562,                0.85223,                0.91499,                0.81409,                0.65305,                 0.8658,                 1.7934,              0.0087696,              0.0087696,              0.0087696
                     89,                0.73806,                   0.58,                 1.9422,                0.89539,                0.86231,                0.91503,                0.81487,                0.65329,                0.86294,                 1.7937,              0.0087554,              0.0087554,              0.0087554
                     90,                0.72685,                0.57755,                 1.9376,                0.88597,                0.87031,                0.91475,                0.81381,                0.65257,                0.86412,                 1.7932,              0.0087413,              0.0087413,              0.0087413
                     91,                0.73307,                 0.5771,                 1.9395,                0.88347,                 0.8716,                0.91475,                0.81491,                 0.6517,                0.86191,                 1.7933,              0.0087271,              0.0087271,              0.0087271
                     92,                0.71775,                0.57162,                 1.9334,                0.88908,                0.86733,                0.91453,                0.81411,                0.65232,                0.86179,                 1.7943,               0.008713,               0.008713,               0.008713
