                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0141,                0.57245,                 1.5194,                0.97958,                0.96829,                0.99107,                 0.8312,                0.73231,                0.66182,                 1.2263,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.0144,                0.57256,                  1.516,                 0.9797,                0.96827,                0.99111,                 0.8313,                0.73162,                0.66447,                 1.2253,               0.009307,               0.009307,               0.009307
                     37,                 1.0116,                0.57135,                 1.5154,                0.97958,                0.96781,                0.99108,                0.83133,                0.73089,                0.66597,                 1.2241,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.0131,                0.57217,                 1.5157,                0.97974,                0.96802,                0.99109,                0.83147,                0.73101,                 0.6588,                  1.224,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.0112,                0.56961,                 1.5149,                0.98005,                0.96762,                0.99108,                0.83136,                0.73186,                0.65719,                 1.2249,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.0122,                0.57169,                 1.5146,                0.98008,                0.96795,                0.99114,                0.83101,                0.73215,                0.65908,                 1.2245,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.0117,                0.57067,                 1.5143,                0.98012,                0.96807,                0.99115,                 0.8312,                0.73139,                0.65607,                 1.2239,               0.009208,               0.009208,               0.009208
                     42,                 1.0092,                0.57019,                 1.5121,                0.98032,                0.96809,                0.99126,                0.83153,                0.73172,                0.64761,                 1.2239,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.0123,                0.57152,                 1.5137,                0.98021,                0.96802,                0.99125,                0.83128,                0.73147,                0.64406,                 1.2237,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.0127,                0.57191,                 1.5143,                0.98017,                0.96807,                0.99127,                0.83138,                0.73125,                0.64761,                 1.2235,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.0114,                0.56854,                 1.5143,                0.98048,                0.96786,                0.99129,                0.83157,                0.73052,                0.64986,                 1.2233,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.0121,                0.57007,                 1.5165,                0.98023,                0.96821,                0.99127,                0.83188,                0.72956,                 0.6323,                  1.223,               0.009109,               0.009109,               0.009109
                     47,                 1.0089,                0.56789,                 1.5126,                0.97999,                0.96815,                 0.9913,                0.83183,                 0.7301,                0.62632,                 1.2235,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0081,                0.56764,                 1.5132,                0.98023,                0.96825,                0.99131,                0.83166,                0.73138,                0.62246,                  1.225,              0.0090694,              0.0090694,              0.0090694
                     49,                   1.01,                0.56687,                 1.5174,                 0.9796,                0.96862,                0.99123,                0.83124,                0.73234,                0.64356,                 1.2261,              0.0090496,              0.0090496,              0.0090496
                     50,                  1.009,                0.56752,                 1.5141,                0.98047,                0.96779,                0.99123,                0.83118,                0.73208,                0.65522,                 1.2267,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0066,                0.56612,                 1.5117,                0.97991,                0.96856,                0.99123,                0.83101,                0.73166,                0.65243,                 1.2264,                0.00901,                0.00901,                0.00901
                     52,                 1.0074,                0.56443,                 1.5157,                0.97966,                0.96861,                0.99132,                0.83118,                0.73146,                0.64623,                 1.2267,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0079,                 0.5655,                 1.5163,                0.97967,                 0.9684,                0.99124,                0.83117,                0.73148,                0.64686,                 1.2265,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0087,                0.56584,                 1.5144,                0.98074,                0.96761,                0.99128,                0.83109,                0.73159,                0.64024,                 1.2261,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0084,                0.56573,                 1.5138,                0.97979,                0.96852,                0.99137,                0.83154,                0.73124,                0.65489,                 1.2258,              0.0089308,              0.0089308,              0.0089308
                     56,                  1.008,                0.56451,                 1.5136,                0.97898,                  0.969,                0.99134,                 0.8315,                0.73108,                 0.6498,                 1.2256,               0.008911,               0.008911,               0.008911
                     57,                 1.0083,                0.56548,                 1.5146,                0.97902,                0.96922,                0.99133,                0.83121,                0.73103,                0.64146,                 1.2263,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0095,                0.56444,                 1.5132,                0.97947,                0.96916,                 0.9913,                0.83152,                0.73115,                0.61398,                 1.2261,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.0082,                0.56517,                 1.5118,                0.98023,                0.96877,                0.99136,                0.83175,                0.73138,                0.61033,                 1.2261,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.0056,                0.56409,                 1.5112,                0.97996,                 0.9687,                0.99123,                0.83162,                0.73101,                 0.6319,                 1.2263,              0.0088318,              0.0088318,              0.0088318
                     61,                  1.007,                0.56479,                 1.5147,                 0.9803,                0.96835,                0.99125,                0.83155,                0.73079,                0.64061,                 1.2262,               0.008812,               0.008812,               0.008812
                     62,                 1.0051,                0.56361,                 1.5125,                0.98008,                0.96907,                0.99128,                 0.8315,                0.73063,                0.64282,                 1.2259,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.0055,                 0.5643,                 1.5109,                0.98065,                0.96853,                0.99135,                0.83154,                0.73088,                0.62692,                 1.2262,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.0055,                0.56519,                 1.5095,                0.98046,                0.96872,                0.99129,                0.83129,                0.73047,                0.61602,                 1.2258,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.0024,                0.56176,                   1.51,                0.98134,                 0.9682,                0.99133,                0.83154,                0.73007,                0.59923,                 1.2255,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.0039,                0.56255,                 1.5112,                0.98028,                0.96879,                0.99128,                 0.8313,                0.73082,                0.58959,                  1.226,               0.008713,               0.008713,               0.008713
                     67,                 1.0049,                0.56313,                 1.5133,                0.98071,                0.96866,                 0.9913,                0.83134,                0.73054,                0.59255,                 1.2257,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.0027,                0.56192,                 1.5083,                0.98104,                0.96832,                0.99133,                0.83145,                0.73004,                0.59562,                 1.2245,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.0065,                0.56311,                  1.513,                0.98002,                0.96882,                0.99136,                0.83158,                0.72989,                0.59635,                 1.2243,              0.0086536,              0.0086536,              0.0086536
                     70,                  1.005,                0.56474,                 1.5101,                0.98055,                0.96881,                0.99139,                0.83138,                0.73014,                0.59019,                 1.2243,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.0029,                0.56101,                 1.5103,                0.98015,                0.96957,                0.99143,                 0.8317,                0.73006,                0.58958,                 1.2244,               0.008614,               0.008614,               0.008614
                     72,                 1.0037,                0.56288,                 1.5124,                0.98065,                0.96905,                0.99151,                0.83186,                 0.7297,                0.58391,                 1.2243,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.0039,                0.56286,                 1.5109,                0.98137,                0.96857,                0.99158,                0.83189,                0.72989,                0.57881,                 1.2242,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.0036,                0.56118,                 1.5091,                0.98083,                0.96889,                0.99156,                0.83194,                0.72985,                0.58092,                 1.2237,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.0028,                0.55959,                 1.5076,                0.98037,                 0.9689,                0.99155,                0.83194,                0.73013,                0.59641,                 1.2239,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.0024,                 0.5596,                 1.5085,                0.98023,                0.96868,                0.99146,                0.83179,                 0.7299,                0.61744,                  1.224,               0.008515,               0.008515,               0.008515
                     77,                 1.0053,                0.56128,                 1.5124,                0.98018,                0.96901,                0.99143,                0.83202,                0.72897,                0.60181,                 1.2234,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.0022,                0.56011,                 1.5097,                0.98035,                0.96939,                0.99158,                0.83214,                 0.7294,                0.57845,                 1.2242,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.0038,                0.55999,                 1.5117,                0.97952,                 0.9702,                 0.9916,                0.83209,                0.72874,                0.55761,                 1.2242,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.0011,                0.55876,                 1.5098,                0.97965,                0.96982,                0.99151,                0.83227,                 0.7288,                0.58567,                  1.224,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.0016,                0.55747,                 1.5091,                0.97994,                0.96983,                0.99155,                0.83244,                0.72883,                0.58292,                 1.2238,               0.008416,               0.008416,               0.008416
                     82,                0.99996,                0.55805,                 1.5067,                0.98034,                0.96945,                0.99155,                0.83252,                0.72917,                0.56569,                 1.2239,              0.0083962,              0.0083962,              0.0083962
                     83,                 0.9996,                0.55772,                 1.5084,                0.97994,                 0.9696,                 0.9915,                0.83299,                0.72957,                0.57683,                 1.2241,              0.0083764,              0.0083764,              0.0083764
                     84,                0.99961,                0.55878,                 1.5069,                0.97942,                0.97002,                0.99146,                0.83283,                0.72889,                0.58851,                 1.2239,              0.0083566,              0.0083566,              0.0083566
                     85,                0.99979,                0.55656,                 1.5081,                0.98099,                0.96877,                0.99155,                0.83297,                0.72885,                0.57943,                 1.2238,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.0011,                0.55695,                 1.5091,                0.98091,                0.96868,                0.99147,                0.83261,                0.72895,                 0.5835,                 1.2238,               0.008317,               0.008317,               0.008317
                     87,                 1.0021,                0.55851,                 1.5081,                0.98022,                0.96918,                0.99147,                0.83259,                0.72923,                0.58183,                 1.2243,              0.0082972,              0.0082972,              0.0082972
                     88,                0.99831,                0.55677,                  1.507,                0.98062,                0.96879,                0.99138,                0.83267,                0.72904,                0.59271,                  1.224,              0.0082774,              0.0082774,              0.0082774
                     89,                0.99893,                0.55719,                 1.5085,                0.98095,                0.96824,                0.99147,                0.83262,                0.72942,                0.58368,                 1.2243,              0.0082576,              0.0082576,              0.0082576
