                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.1224,                 7.2778,                0.61253,                0.89618,                 1.2564,                0.42402,                0.43096,                0.42651,                0.26807,                0.00535,                0.04878,                0.00131,                 0.0006,                 1.3934,                 9.4544,                0.74756,                 3.4449,                 1.5902,              0.0011649,              0.0011649,              0.0011649
                     23,                 1.1737,                 7.1625,                0.60035,                 1.0199,                 1.3361,                0.65531,                0.69512,                0.79054,                0.36219,                0.00724,                0.02439,                0.00107,                0.00032,                 1.9719,                 10.085,                0.79609,                 2.9861,                 2.2522,              0.0012119,              0.0012119,              0.0012119
                     24,                 1.0622,                 6.9748,                0.59221,                0.90293,                  1.213,                0.59033,                0.70732,                 0.7145,                 0.3435,                0.01415,                0.04878,                0.00245,                0.00086,                 1.6074,                 9.5849,                0.75393,                 4.0695,                 1.8221,              0.0012583,              0.0012583,              0.0012583
                     25,                 1.0638,                 6.8561,                 0.5908,                0.93596,                 1.3136,                0.64106,                0.76829,                0.77259,                0.46064,                0.02999,                0.04878,                0.00528,                0.00249,                 1.3672,                 9.2152,                0.73687,                 2.7244,                 1.5376,              0.0013042,              0.0013042,              0.0013042
                     26,                0.98447,                 6.7876,                0.58825,                 0.7949,                 1.2695,                0.78772,                0.81457,                0.86103,                0.48099,                0.03823,                0.06098,                0.00445,                0.00251,                 1.3618,                 8.8685,                0.69116,                 1.4894,                 1.6041,              0.0013494,              0.0013494,              0.0013494
                     27,                 1.0053,                 6.9488,                0.58113,                0.83216,                 1.3639,                0.91524,                0.92186,                0.93539,                0.62822,                0.07389,                0.08537,                0.00943,                0.00323,                 1.0297,                 8.6979,                0.68379,                 1.1061,                 1.2707,              0.0013941,              0.0013941,              0.0013941
                     28,                 1.1217,                 6.7746,                0.58196,                0.86083,                 1.3206,                0.77454,                0.78049,                  0.797,                0.43065,                0.07092,                0.06098,                 0.0093,                0.00548,                 1.5647,                  8.738,                0.69136,                  1.411,                  1.906,              0.0014381,              0.0014381,              0.0014381
                     29,                 1.1354,                 6.8079,                0.58594,                0.88473,                  1.401,                0.80994,                0.83155,                0.88141,                0.56996,                0.02464,                0.06098,                0.00421,                0.00243,                 1.1998,                 8.6909,                0.70381,                 1.0958,                 1.4543,              0.0014816,              0.0014816,              0.0014816
                     30,                 1.1589,                 6.7376,                0.57398,                0.90627,                 1.2701,                0.74657,                0.69512,                0.82118,                0.54771,                0.06911,                0.09756,                0.01296,                0.00345,                  1.167,                 8.8138,                0.68168,                 1.2978,                 1.4147,              0.0015245,              0.0015245,              0.0015245
                     31,                  1.017,                 6.4452,                0.57362,                0.80368,                 1.2239,                0.83914,                0.80488,                0.83849,                0.52181,                0.02233,                0.04878,                0.00287,                0.00123,                 1.4583,                 9.2256,                 0.7491,                 1.3473,                 1.7378,              0.0015668,              0.0015668,              0.0015668
                     32,                 1.0191,                 6.2541,                 0.5757,                0.80829,                 1.2727,                0.81389,                0.81707,                0.82999,                0.57679,                0.00889,                 0.0122,                0.00092,                0.00037,                 1.2169,                 9.1278,                0.71552,                 1.2246,                 1.4361,              0.0016084,              0.0016084,              0.0016084
                     33,                 1.1395,                 6.6277,                0.57488,                 0.8982,                  1.307,                0.79818,                0.69512,                0.78711,                0.46853,                0.05373,                0.04878,                0.00562,                0.00207,                 1.6293,                 8.7424,                0.67701,                 1.7329,                 1.7961,              0.0016495,              0.0016495,              0.0016495
                     34,                 1.0706,                 6.4556,                0.56524,                0.87474,                 1.2096,                0.62798,                0.68293,                0.69198,                0.39937,                0.03115,                0.06098,                0.00683,                0.00179,                 1.5507,                 9.4076,                0.75027,                 3.4217,                 1.8275,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.1271,                 6.5938,                 0.5662,                0.90168,                 1.2017,                0.49326,                0.74786,                0.61873,                0.34522,                0.00642,                0.02439,                0.00095,                0.00058,                  1.561,                 9.7211,                0.72337,                  2.106,                 1.7248,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.1322,                 6.2979,                0.56763,                0.91757,                 1.3102,                 0.6309,                0.64634,                0.61109,                  0.361,                0.02594,                0.02439,                0.00145,                0.00059,                 1.4572,                 9.4848,                0.68387,                 1.4108,                 1.5776,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.0652,                 6.2153,                 0.5631,                0.88806,                 1.2698,                0.71936,                0.71898,                0.79508,                 0.4681,                0.08104,                0.03659,                0.00686,                0.00152,                 1.4637,                 9.2097,                0.73035,                 1.0707,                 1.5323,              0.0016436,              0.0016436,              0.0016436
