                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.52128,                0.33696,                0.85605,                0.95305,                0.90735,                0.95731,                0.86245,                0.50922,                0.39377,                0.84656,               0.008812,               0.008812,               0.008812
                     38,                0.51647,                0.33248,                0.85579,                0.95662,                0.90752,                0.95787,                0.86283,                0.50986,                0.39604,                0.84694,               0.008779,               0.008779,               0.008779
                     39,                0.51782,                0.33484,                0.85666,                0.95933,                0.90449,                0.95762,                0.86427,                0.51006,                0.39522,                0.84716,               0.008746,               0.008746,               0.008746
                     40,                0.51878,                0.33426,                0.85399,                0.96487,                0.90036,                0.95758,                0.86472,                0.50861,                 0.3905,                0.84698,               0.008713,               0.008713,               0.008713
                     41,                0.51809,                0.33399,                0.85483,                0.96512,                0.89788,                 0.9575,                0.86421,                0.51047,                0.38856,                0.84857,                0.00868,                0.00868,                0.00868
                     42,                0.51593,                0.33305,                0.85461,                0.95792,                0.90545,                0.95733,                0.86505,                 0.5118,                0.38799,                0.84933,               0.008647,               0.008647,               0.008647
                     43,                0.51284,                 0.3294,                0.85588,                0.95734,                0.90683,                0.95729,                0.86276,                0.51189,                0.38731,                0.84936,               0.008614,               0.008614,               0.008614
                     44,                0.51117,                0.32946,                0.85346,                0.95351,                0.91062,                 0.9578,                0.86386,                0.51148,                 0.3868,                0.84891,               0.008581,               0.008581,               0.008581
                     45,                0.50803,                0.32845,                0.85303,                0.95239,                0.91098,                0.95745,                0.86269,                0.51013,                0.38716,                0.84815,               0.008548,               0.008548,               0.008548
                     46,                0.51052,                0.32998,                0.85354,                 0.9542,                0.91032,                0.95723,                0.86299,                0.50898,                0.38846,                 0.8481,               0.008515,               0.008515,               0.008515
                     47,                0.50397,                0.32468,                0.85142,                0.95453,                0.91075,                0.95782,                0.86548,                 0.5068,                0.38654,                0.84706,               0.008482,               0.008482,               0.008482
